ZINC|000001529359|
ZINC|000004312752|
ZINC|000004713280|
ZINC|000001556239|
ZINC|000257349764|
ZINC|000036893475|
ZINC|000004312754|
ZINC|001569999093|
ZINC|000001532540|
ZINC|000096767156|
ZINC|000100028860|
ZINC|000017111357|
ZINC|000170596104|
ZINC|000299888403|
ZINC|000013409046|
ZINC|000039333569|
ZINC|000001726380|
ZINC|000016980368|
ZINC|000077028604|
ZINC|000003938676|
ZINC|000002007908|
ZINC|000078571100|
ZINC|000019772468|
ZINC|000238853551|
ZINC|000013944146|
ZINC|000002583523|
ZINC|000004658565|
ZINC|000004962956|
ZINC|000006315024|
ZINC|000100038588|
ZINC|000104141533|
ZINC|000021779167|
ZINC|000006779774|
ZINC|000004618925|
ZINC|000225476048|
ZINC|000077262235|
ZINC|000225476179|
ZINC|000004218939|
ZINC|000004658554|
ZINC|000022242010|
ZINC|000002525296|
ZINC|000101112334|
ZINC|000001565382|
ZINC|000064857594|
ZINC|000003623428|
ZINC|000031168698|
ZINC|000004109959|
ZINC|000005298708|
ZINC|000328598169|
ZINC|000225608314|
