id,detected mass ,MzCORR,RT (min),Identified,Chebi
M213T724,213.086259,212.078979,12.071675,FALSE,
M214T1393,214.1177832,213.1105032,23.21333333,FALSE,
M215T511,215.014358,216.021638,8.516258333,FALSE,
M216T604,216.0152778,217.0225578,10.06295,FALSE,
M216T727,216.0624077,215.0551277,12.116175,FALSE,
M217T990,216.9812809,217.9885609,16.502075,FALSE,
M217T356,217.0103379,218.0176179,5.931,FALSE,
M217T374,217.0289553,218.0362353,6.233333333,FALSE,
M217T188,217.063393,216.056113,3.133,FALSE,
M217T1364,217.1174841,216.1102041,22.73816667,FALSE,
M218T698,218.0672708,219.0745508,11.6261,FALSE,
M218T388,218.10156,217.09428,6.4746,FALSE,
M219T1020,219.0148065,220.0220865,16.99783333,FALSE,
M219T176,219.0791208,218.0718408,2.940083333,FALSE,
M219T678,219.0968299,218.0895499,11.293675,FALSE,
M219T1390,219.1331714,218.1258914,23.17066667,FALSE,
M219T746,219.1332877,218.1260077,12.42790833,FALSE,
M221T608,221.0912669,220.0839869,10.131575,FALSE,
M222T493,222.09656,221.08928,8.21,FALSE,
M225T278,225.1225752,224.1152952,4.635233333,FALSE,
M226T455,226.0574625,227.0647425,7.575325,FALSE,
M227T176,227.0135373,228.0208173,2.928991667,FALSE,
M227T242,227.101828,226.094548,4.02725,FALSE,
M228T649,228.0859115,227.0786315,10.80915,FALSE,
60,229.1175359,228.1102559,12.46696667,FALSE,
M230T509,230.1127639,229.1054839,8.485166667,FALSE,
M231T288,231.0449127,232.0521927,4.8021,FALSE,
M231T194,231.0449182,232.0521982,3.229183333,FALSE,
M231T195,231.0790842,230.0718042,3.2513,FALSE,
M231T699,231.0968171,230.0895371,11.65756667,FALSE,
M232T360,232.1284035,231.1211235,5.996825,FALSE,
M232T1127,232.1284077,231.1211277,18.78191667,FALSE,
M233T658,233.1126512,232.1053712,10.96878333,FALSE,
M235T705,235.1280877,234.1208077,11.75220833,FALSE,
M237T954,236.997408,235.990128,15.90115,FALSE,
M237T608,237.0620677,238.0693477,10.13714167,FALSE,
M240T396,240.1083687,239.1010887,6.5979,FALSE,
M242T636,242.1126552,241.1053752,10.606375,FALSE,
M243T900,243.0150894,244.0223694,14.99881667,FALSE,
M244T469,244.1284195,243.1211395,7.818216667,FALSE,
M245T940,244.952913,245.960193,15.663125,FALSE,
M245T553,245.0436792,246.0509592,9.215166667,FALSE,
M245T706,245.0784494,246.0857294,11.05576667,FALSE,
M245T583,245.1123078,244.10503,9.7,FALSE,
M245T299,245.1124095,244.1051295,4.977658333,FALSE,
M246T835,246.1076837,245.1004037,13.92421667,FALSE,
M247T687,247.0917748,246.0844948,11.44790833,FALSE,
M247T871,247.093031,246.085751,14.52306667,FALSE,
M248T915,248.0756483,247.0683683,15.24620833,FALSE,
M250T263,250.0926722,249.0853922,4.389741667,FALSE,
M251T589,251.1017308,250.0944508,9.810391667,FALSE,
M251T313,251.1018432,250.0945632,5.2227,FALSE,
M253T908,252.9429854,253.9502654,15.12596667,FALSE,
M256T309,256.1171411,255.1098611,5.154441667,FALSE,
M258T512,258.0571321,259.0644121,8.5357,FALSE,
M260T802,260.0521956,259.0449156,13.37275,FALSE,
M260T190,260.1273157,259.1200357,3.174208333,FALSE,
M261T788,261.03628,260.029,13.13551667,FALSE,
M262T890,262.0913189,261.0840389,14.83339167,FALSE,
M263T588,263.0687688,262.0614888,9.794616667,FALSE,
M263T184,263.13831,262.13103,3.062066667,FALSE,
M265T930,264.9431666,265.9504466,15.50698333,FALSE,
M265T524,265.1173878,264.1101078,8.736916667,FALSE,
M265T498,265.1174241,264.1101441,8.306575,FALSE,
M265T238,265.1174899,264.1102099,3.962516667,FALSE,
M267T453,267.0356664,268.0429464,7.555966667,FALSE,
M269T688,269.0736231,268.0663431,11.46195833,FALSE,
M274T182,274.0814401,273.0741601,3.027358333,FALSE,
M274T699,274.175384,273.168104,11.64721667,FALSE,
M275T898,274.981852,275.989132,14.96326667,FALSE,
M275T733,275.1017513,274.0944713,12.215775,FALSE,
M275T386,275.1164607,274.1091807,6.428433333,FALSE,
M275T530,275.1341366,274.1268566,8.839791667,FALSE,
M275T188,275.2110093,274.2037293,3.136916667,FALSE,
M276T202,276.1070324,275.0997524,3.374558333,FALSE,
M276T801,276.1070984,275.0998184,13.346575,FALSE,
M277T754,276.9891945,277.9964745,12.57,FALSE,
M279T498,279.035782,280.043062,8.303833333,FALSE,
M282T844,281.9795413,282.9868213,14.07495833,FALSE,
M283T901,282.9538238,283.9611038,15.01840833,FALSE,
M283T569,283.040808,282.033528,9.487483333,FALSE,
M283T898,283.0915895,282.0843095,14.96986667,FALSE,
M284T291,284.0691189,283.0618389,4.856316667,FALSE,
M286T162,286.3096661,285.3023861,2.694908333,FALSE,
M287T710,287.0507729,288.0580529,11.82768333,FALSE,
M288T930,288.0734129,289.0806929,15.49840833,FALSE,
M291T806,291.0468215,290.0395415,13.4348,FALSE,
M294T197,294.0408156,295.0480956,3.27905,FALSE,
M294T348,294.1174423,293.1101623,5.804308333,FALSE,
M296T732,296.028561,295.021281,12.19618333,FALSE,
M299T359,299.1704708,298.1631908,5.98725,FALSE,
M300T706,300.073624,301.080904,11.76038333,FALSE,
M300T740,300.0833765,299.0760965,12.32555,FALSE,
M302T198,302.1126361,301.1053561,3.306483333,FALSE,
M307T352,307.0949224,306.0876424,5.868991667,FALSE,
M309T921,309.0106283,310.0179083,15.35695,FALSE,
M309T764,309.0195459,310.0268259,12.736325,FALSE,
M311T355,311.0281755,312.0354555,5.9091,FALSE,
M312T581,312.1544377,311.1471577,9.680666667,FALSE,
M313T752,313.0460981,314.0533781,12.53796667,FALSE,
M313T172,313.0810883,312.0738083,2.866208333,FALSE,
M314T582,314.0360886,315.0433686,9.705991667,FALSE,
M315T522,315.096493,314.089213,8.704116667,FALSE,
M317T944,316.9926576,317.9999376,15.72860833,FALSE,
M317T449,317.1123259,316.1050459,7.477875,FALSE,
M318T288,318.1650204,317.1577404,4.796416667,FALSE,
M320T697,320.0122884,321.0195684,11.60984167,FALSE,
M320T381,320.0124067,321.0196867,6.356808333,FALSE,
M320T573,320.0901787,319.0828987,9.552125,FALSE,
M327T558,327.1573655,326.1500855,9.297133333,FALSE,
M327T166,327.2998028,326.2925228,2.763466667,FALSE,
M330T424,330.1074719,329.1001919,7.068366667,FALSE,
M331T708,331.0619432,332.0692232,11.797225,FALSE,
M333T575,333.0741629,332.0668829,9.5836,FALSE,
M333T513,333.0741997,332.0669197,8.542433333,FALSE,
M334T457,334.1204427,335.1277227,7.612516667,FALSE,
M335T454,335.1166399,336.1239199,7.5686,FALSE,
M337T1028,337.0032787,338.0105587,17.1305,FALSE,
M337T208,337.0902964,338.0975764,3.461741667,FALSE,
M339T579,339.1540113,338.1467313,9.6479,FALSE,
M343T645,343.0858494,344.0931294,10.75125,FALSE,
M345T351,345.059061,346.066341,5.848666667,FALSE,
M345T576,345.0844003,346.0916803,9.608266667,FALSE,
M345T204,345.1314474,346.1387274,3.3966,FALSE,
M347T198,347.1440409,346.1367609,3.302816667,FALSE,
M347T785,347.1440866,346.1368066,13.08685833,FALSE,
M349T583,349.0037457,350.0110257,9.714758333,FALSE,
M353T320,353.1333564,352.1260764,5.337725,FALSE,
M353T499,353.1333954,352.1261154,8.317433333,FALSE,
M355T625,355.073033,354.065753,10.41035833,FALSE,
M355T652,355.1489735,354.1416935,10.86276667,FALSE,
M357T868,356.9926754,357.9999554,14.46938333,FALSE,
M359T671,359.1471839,358.1399039,11.18236667,FALSE,
M361T385,361.0395617,362.0468417,6.417666667,FALSE,
M362T663,362.0236819,363.0309619,11.04271667,FALSE,
M367T813,367.1130744,366.1057944,13.54481667,FALSE,
M371T897,370.9806144,371.9878944,14.95,FALSE,
M373T933,373.0200445,374.0273245,15.55,FALSE,
M374T750,374.0839157,373.0766357,12.49508333,FALSE,
M375T637,375.0433164,376.0505964,10.61625,FALSE,
M379T587,379.1634754,378.1561954,9.78255,FALSE,
M379T1268,379.1699947,378.1627147,21.141,FALSE,
M379T156,379.1952941,380.2025741,2.5988,FALSE,
M381T848,381.1859051,380.1786251,14.13875833,FALSE,
M385T611,385.1280301,384.1207501,10.18461667,FALSE,
M386T719,386.194672,385.187392,11.97865,FALSE,
M391T810,391.1814778,390.1741978,13.49511667,FALSE,
M396T663,396.0994617,395.0921817,11.052075,FALSE,
M399T166,399.3573879,398.3501079,2.774216667,FALSE,
M403T890,403.1602615,402.1529815,14.82526667,FALSE,
M405T196,405.0116003,406.0188803,3.260733333,FALSE,
M411T168,411.3571997,410.3499197,2.79665,FALSE,
M427T729,427.1500622,426.1427822,12.15419167,FALSE,
M431T584,431.1682553,430.1609753,9.726816667,FALSE,
M439T163,439.3887092,438.3814292,2.718783333,FALSE,
M447T760,447.0207705,448.0280505,12.671725,FALSE,
M448T360,448.1247329,449.1320129,5.995633333,FALSE,
M450T198,450.2072191,449.1999391,3.307575,FALSE,
M451T171,451.2680975,452.2753775,2.856091667,FALSE,
M452T163,452.2763449,451.2690649,2.724841667,FALSE,
M453T132,453.368062,452.360782,2.194341667,FALSE,
M455T1068,455.0799425,454.0726625,17.79883333,FALSE,
M456T932,456.0586361,457.0659161,15.537175,FALSE,
M457T490,457.1109178,456.1036378,8.162175,FALSE,
M471T870,470.5672821,471.5745621,14.49971667,FALSE,
M480T159,480.3074731,479.3001931,2.643358333,FALSE,
M483T970,482.9655031,483.9727831,16.16128333,FALSE,
M501T872,500.9763916,501.9836716,14.52531667,FALSE,
M502T946,502.0012776,500.9939976,15.76104167,FALSE,
M502T560,502.2416481,501.2343681,9.325308333,FALSE,
M504T526,504.2577157,503.2504357,8.774791667,FALSE,
M517T198,517.249354,516.242074,3.30535,FALSE,
M523T1125,523.2123592,522.2050792,18.74508333,FALSE,
M535T133,535.4496837,536.4569637,2.22,FALSE,
M547T670,547.0787702,548.0860502,11.16190833,FALSE,
M559T632,559.156548,558.149268,10.53056667,FALSE,
M565T834,565.0529877,566.0602677,13.90660833,FALSE,
M565T128,565.4929909,564.4857109,2.138325,FALSE,
M566T652,566.1132983,565.1060183,10.86850833,FALSE,
M578T127,577.518461,576.511181,2.118116667,FALSE,
M579T129,579.4722498,578.4649698,2.147083333,FALSE,
M580T148,580.2708698,579.2635898,2.468266667,FALSE,
M584T815,584.0876714,583.0803914,13.58076667,FALSE,
M587T131,587.4747013,586.4674213,2.185416667,FALSE,
M588T619,588.1418722,587.1345922,10.3209,FALSE,
M592T128,591.5085242,590.5012442,2.134541667,FALSE,
M596T917,595.668818,596.676098,15.291475,FALSE,
M606T753,606.0794998,607.0867798,12.54611667,FALSE,
M620T954,620.0593059,621.0665859,15.90425833,FALSE,
M648T606,648.2699045,647.2626245,10.09565833,FALSE,
M659T494,659.1098924,658.1026124,8.23915,FALSE,
M669T128,668.5560029,667.5487229,2.138741667,FALSE,
M679T819,679.1060257,680.1133057,13.65820833,FALSE,
M680T801,680.1087419,679.1014619,13.3453,FALSE,
M685T1182,685.2642791,684.2569991,19.69691667,FALSE,
M686T665,686.0946618,685.0873818,11.08531667,FALSE,
M688T141,688.489123,687.481843,2.358066667,FALSE,
M691T161,691.3937291,690.3864491,2.688191667,FALSE,
M693T128,692.5209135,691.5136335,2.126566667,FALSE,
M716T1024,716.2606689,715.2533889,17.0745,FALSE,
M717T140,716.5207015,715.5134215,2.339575,FALSE,
M719T132,719.4903047,720.4975847,2.201583333,FALSE,
M729T136,729.3091542,728.3018742,2.259333333,FALSE,
M730T975,730.2402861,729.2330061,16.25476667,FALSE,
M736T129,735.5984182,734.5911382,2.145441667,FALSE,
M739T127,738.5271789,737.5198989,2.120816667,FALSE,
M745T139,744.5519052,743.5446252,2.323816667,FALSE,
M748T127,747.5162461,746.5089661,2.1208,FALSE,
M750T127,749.532077,748.524797,2.118116667,FALSE,
M763T130,762.5270889,761.5198089,2.16425,FALSE,
M829T1099,829.3064212,828.2991412,18.31416667,FALSE,
M831T683,831.1463449,832.1536249,11.38815,FALSE,
M850T724,850.3489653,851.3562453,12.06788333,FALSE,
M851T695,851.3486877,850.3414077,11.5872,FALSE,
M853T125,852.5370621,851.5297821,2.082858333,FALSE,
M859T1075,859.2834077,858.2761277,17.91583333,FALSE,
M866T156,866.4790724,865.4717924,2.602541667,FALSE,
M873T700,873.3316983,872.3244183,11.6594,FALSE,
M944T851,944.1453862,943.1381062,14.17573333,FALSE,
M955T124,954.7141066,953.7068266,2.074825,FALSE,
M73T260,73.03002,74.0373,4.33,TRUE,30768
M87T247,87.00930054,88.01658054,4.115458333,TRUE,32816
M89T299,89.0249273,90.0322073,4.981333333,TRUE,24996
M90T682,90.05487534,89.04759534,11.35950833,TRUE,16449
M103T756,103.00414,104.01142,12.6,TRUE,30794
M104T733,104.0704741,103.0631941,12.22314167,TRUE,16865
M105T451,105.019781,106.027061,7.520566667,TRUE,33871
M106T725,106.0497242,105.0424442,12.08595,TRUE,17822
M110T222,110.0599205,109.0526405,3.698316667,TRUE,18112
M112T459,112.05043,111.04315,7.643233333,TRUE,16040
M115T786,115.0041233,116.0114033,13.10194167,TRUE,18012
M115T182,115.0405307,116.0478107,3.031016667,TRUE,16530
M116T559_2,116.0703359,115.0630559,9.31865,TRUE,26271
M117T736_2,117.019654,118.026934,12.27485833,TRUE,15741
M118T525,118.0860516,117.0787716,8.7497,TRUE,27266
M118T461,118.086091,117.078811,7.6819,TRUE,17750
M120T630,120.0653483,119.0580683,10.49610833,TRUE,16857
M120T693_2,120.0653516,119.0580716,11.55389167,TRUE,30653
M123T244,123.0551314,122.0478514,4.0686,TRUE,17154
M131T202,131.0354651,132.0427451,3.368541667,TRUE,75146
M132T460,132.1016814,131.0944014,7.668016667,TRUE,17191
M132T434,132.1016928,131.0944128,7.2256,TRUE,25017
M133T788_2,133.0146789,134.0219589,13.137575,TRUE,6650
M133T1167,133.0969601,132.0896801,19.45308333,TRUE,18257
M134T697,134.04456,133.03728,11.61,TRUE,22660
M134T364,134.0477272,135.0550072,6.059691667,TRUE,16708
M136T380,136.0408675,137.0481475,6.3359,TRUE,30753
M137T396,137.0455958,136.0383158,6.597416667,TRUE,17368
M138T227,138.0547659,137.0474859,3.783633333,TRUE,30754
M138T496,138.0547704,137.0474904,8.258683333,TRUE,18123
M141T242,141.0197413,142.0270213,4.034391667,TRUE,16508
M145T749_1,145.014641,146.021921,12.48375833,TRUE,30915
M146T382,146.04636,147.05364,6.36,TRUE,17981
M147T304,147.0667116,148.0739916,5.067733333,TRUE,25351
M147T693,147.0761809,146.0689009,11.54766667,TRUE,28300
M147T1315,147.1125569,146.1052769,21.91458333,TRUE,18019
M148T670_2,148.0600551,147.0527751,11.1713,TRUE,14321
M150T462,150.0580787,149.0507987,7.697958333,TRUE,16811
M151T459,151.02668,152.03396,7.65,TRUE,17712
M153T588_2,153.0195745,154.0268545,9.7921,TRUE,36062
M155T351,155.0103118,156.0175918,5.850725,TRUE,16742
M159T1015,159.0302535,160.0375335,16.91758333,TRUE,37440
M161T725,161.0458613,162.0531413,12.083425,TRUE,16831
M161T339,161.0918151,160.0845351,5.64835,TRUE,16576
M163T170,163.0404833,164.0477633,2.841383333,TRUE,18005
M165T167,165.04129,166.04857,2.78,TRUE,68444
M166T771,166.0149519,167.0222319,12.855675,TRUE,16675
M166T375_2,166.08601,165.07873,6.241716667,TRUE,28044
M167T937,166.975515,167.982795,15.616625,TRUE,44897
M169T751,168.9911058,169.9983858,12.51510833,TRUE,16108
M171T735,171.00672,172.014,12.26,TRUE,15978
M171T510,171.03029,172.03757,8.51,TRUE,30918
M171T145,171.139453,172.146733,2.419633333,TRUE,30813
M173T925,173.0096024,174.0168824,15.42163333,TRUE,32805
M174T699,174.0412001,175.0484801,11.64641667,TRUE,21547
M175T728,175.1074221,174.1001421,12.13095,TRUE,16543
M175T1380,175.1186164,174.1113364,22.99391667,TRUE,29016
M176T202,176.039097,177.046377,3.371783333,TRUE,16552
M176T751,176.1026889,175.0954089,12.52019167,TRUE,18211
M177T641,177.0344,178.04168,10.69,TRUE,4047
M177T497,177.0866733,176.0793933,8.276558333,TRUE,74859
M180T580,180.06707,181.07435,9.66,TRUE,16939
M182T563,182.0807499,181.0734699,9.383891667,TRUE,17895
M185T878,184.9861276,185.9934076,14.6367,TRUE,17050
M185T682,185.0095891,186.0168691,11.36998333,TRUE,15749
M186T825,186.0158533,185.0085733,13.75325,TRUE,37712
M188T663_1,188.0568612,189.0641412,11.04950833,TRUE,17533
M189T512,189.04083,190.04811,8.53,TRUE,17947
M191T976,191.0201021,192.0273821,16.26856667,TRUE,30769
M191T527,191.0565024,192.0637824,8.775875,TRUE,17521
M203T183,203.1384046,202.1311246,3.054516667,TRUE,73770
M205T490,205.0965253,204.0892453,8.163825,TRUE,27897
M215T198,215.1382659,214.1309859,3.299575,TRUE,16691
M215T142,215.1655694,216.1728494,2.367758333,TRUE,39567
M217T352,217.1175217,216.1102417,5.873241667,TRUE,73662
M218T262,218.1035701,219.1108501,4.359158333,TRUE,7916
M220T583,220.08079,219.07351,9.711733333,TRUE,16160
M225T718,225.0408254,226.0481054,11.96858333,TRUE,17333
M229T770,229.0122634,230.0195434,12.83333333,TRUE,17797
M229T194,229.1539532,228.1466732,3.2263,TRUE,73580
M244T509,244.092011,243.084731,8.480075,TRUE,17562
M259T872,259.0230808,260.0303608,14.53985833,TRUE,4170
M259T808,259.0231916,260.0304716,13.47245,TRUE,15946
M268T331,268.1032429,267.0959629,5.524508333,TRUE,16335
M277T852,277.1023236,276.0950436,14.19575,TRUE,5390
M291T834,291.1291099,290.1218299,13.906225,TRUE,15682
M298T233,298.0957097,297.0884297,3.875183333,TRUE,17509
M323T748,323.0301247,324.0374047,12.46949167,TRUE,16695
M324T774,324.0584784,323.0511984,12.89633333,TRUE,17361
M328T284,328.0462151,329.0534951,4.736591667,TRUE,17489
M348T631,348.069454,347.062174,10.52045833,TRUE,16027
M349T755,349.0537317,348.0464517,12.58016667,TRUE,17202
M364T835,364.064492,363.057212,13.92370833,TRUE,17345
M399T823,399.1437508,398.1364708,13.71495833,TRUE,15414
M403T868,402.9972872,404.0045672,14.46783333,TRUE,17659
M404T883,404.0245462,403.0172662,14.7214,TRUE,17239
M428T758,428.0360149,427.0287349,12.63795833,TRUE,16761
M444T942,444.03056,443.02328,15.70654167,TRUE,17552
M484T981,483.9907587,482.9834787,16.35258333,TRUE,17677
M508T864,508.0019345,506.9946545,14.402175,TRUE,15422
M524T1035,523.9969032,522.9896232,17.24808333,TRUE,15996
M664T667,664.1134671,,11.11770833,TRUE,15846
M744T872,744.0802439,,14.53986667,TRUE,18009
M768T684,768.1196213,767.1123413,11.401325,TRUE,15346
M786T494,786.1612416,785.1539616,8.234383333,TRUE,16238
